Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
962365.0,4.0,3.5,2724.0,"16156 NW Holman Way, Portland, OR 97229",97229.0
512990.0,3.0,3.0,1406.0,"7125 NW Bountiful Ter, Portland, OR 97229",97229.0
499990.0,2.0,2.5,1432.0,"15068 NW Ethel Ln, Portland, OR 97229",97229.0
965205.0,4.0,3.5,2777.0,"16132 NW Holman Way, Portland, OR 97229",97229.0
939990.0,5.0,3.0,2980.0,"Bayberry Plan, Ridgeline at Bethany Community, Portland, OR 97229",97229.0
704990.0,3.0,2.5,1739.0,"14988 NW Evelyn St, Portland, OR 97229",97229.0
1052515.0,5.0,3.5,3473.0,"17359 NW Loomis Ln, Portland, OR 97229",97229.0
749995.0,4.0,2.5,2010.0,"Gleneden Plan, Toll Brothers at Hosford Farms - Terra Collection Community, Portland, OR 97229",97229.0
799995.0,4.0,2.5,2294.0,"Warrenton Plan, Toll Brothers at Hosford Farms - Terra Collection Community, Portland, OR 97229",97229.0
899995.0,4.0,2.5,3059.0,"Warrenton with Basement Plan, Toll Brothers at Hosford Farms - Terra Collection Community, Portland, OR 97229",97229.0
884990.0,3.0,2.5,2901.0,"Andover II Plan, Abbey Woods Terrace Community, Portland, OR 97229",97229.0
659990.0,4.0,2.5,1651.0,"Sage Plan, Ridgeline at Bethany Community, Portland, OR 97229",97229.0
738990.0,4.0,2.5,2300.0,"Birch Plan, Ridgeline at Bethany Community, Portland, OR 97229",97229.0
899990.0,4.0,2.5,2955.0,"Wellington Plan, Abbey Woods Terrace Community, Portland, OR 97229",97229.0
799990.0,4.0,2.5,2406.0,"Waterville Plan, Abbey Woods Terrace Community, Portland, OR 97229",97229.0
768290.0,2.0,2.0,1858.0,"Blue Ridge Plan, Durham Heights Community, Portland, OR 97224",97224.0
744900.0,4.0,3.0,2228.0,"3936 SE Cooper St, Portland, OR 97202",97202.0
399999.0,3.0,2.0,1069.0,"16833 NW Wapato Ave, Portland, OR 97231",97231.0
425000.0,2.0,2.0,1044.0,"11231 NE Fargo St, Portland, OR 97220",97220.0
550000.0,3.0,2.0,1093.0,"7780 SW 4th Ave, Portland, OR 97219",97219.0
698000.0,4.0,2.5,2662.0,"91 SW 106th Pl, Portland, OR 97225",97225.0
499000.0,3.0,2.0,2710.0,"2713 SE 81st Ave, Portland, OR 97206",97206.0
589900.0,3.0,2.5,1820.0,"16044 SE Flavel Dr, Portland, OR 97236",97236.0
575000.0,2.0,2.0,1846.0,"1975 N Jantzen Ave, Portland, OR 97217",97217.0
539000.0,3.0,1.5,1706.0,"7305 N Knowles Ave, Portland, OR 97217",97217.0
719000.0,2.0,2.0,1371.0,"1830 NW Riverscape St Apt 107, Portland, OR 97209",97209.0
449900.0,3.0,2.0,1244.0,"16355 SE Yamhill St, Portland, OR 97233",97233.0
614900.0,5.0,2.0,2826.0,"3951 SE Holgate Blvd, Portland, OR 97202",97202.0
659000.0,4.0,2.5,2166.0,"9635 SW Pihas St, Portland, OR 97223",97223.0
650000.0,3.0,1.5,1967.0,"1016 N Mason St, Portland, OR 97217",97217.0
430000.0,2.0,1.0,1244.0,"3666 SE Holgate Blvd, Portland, OR 97202",97202.0
825000.0,5.0,3.0,4016.0,"3340 SW 70th Ave, Portland, OR 97225",97225.0
424900.0,2.0,1.0,8688.0,"7115 N Delaware Ave, Portland, OR 97217",97217.0
539000.0,3.0,2.0,2020.0,"2261 NE 134th Pl, Portland, OR 97230",97230.0
1200000.0,5.0,3.5,3287.0,"3730 SW Grover St, Portland, OR 97221",97221.0
650000.0,3.0,3.0,2326.0,"630 SE 33rd Ave, Portland, OR 97214",97214.0
749900.0,5.0,2.5,2444.0,"5684 NW Skycrest Pkwy, Portland, OR 97229",97229.0
785000.0,4.0,2.5,2836.0,"541 NE Tillamook St, Portland, OR 97212",97212.0
554900.0,4.0,2.5,1933.0,"3862 NE 150th Ave, Portland, OR 97230",97230.0
545990.0,3.0,3.0,1632.0,"Bondi Plan, Bethany Crossing Townhomes Community, Portland, OR 97229",97229.0
819995.0,4.0,2.5,2425.0,"Orford Plan, Toll Brothers at Hosford Farms - Terra Collection Community, Portland, OR 97229",97229.0
435000.0,3.0,2.0,1040.0,"5015 SW Buddington St, Portland, OR 97219",97219.0
299000.0,1.0,1.0,8588.0,"245 N Hayden Bay Dr, Portland, OR 97217",97217.0
900000.0,3.0,2.5,2176.0,"9130 SW 7th Ave, Portland, OR 97219",97219.0
676500.0,4.0,2.0,2646.0,"4224 SE 33rd Pl, Portland, OR 97202",97202.0
590000.0,4.0,2.5,1821.0,"8332 N Fox St, Portland, OR 97203",97203.0
575000.0,3.0,1.5,2255.0,"4007 SE Long St, Portland, OR 97202",97202.0
259000.0,2.0,1.0,8888.0,"1025 SW Bertha Blvd Apt 1, Portland, OR 97219",97219.0
469990.0,4.0,2.5,1925.0,"13619 NE Davis Ct, Portland, OR 97230",97230.0
599950.0,3.0,2.0,2012.0,"4937 NE 6th Ave, Portland, OR 97211",97211.0
825000.0,6.0,3.0,3312.0,"13240 NW Pettygrove St, Portland, OR 97229",97229.0
925000.0,5.0,4.0,3318.0,"7635 N Decatur St, Portland, OR 97203",97203.0
1025000.0,4.0,3.5,3031.0,"4838 NE 14th Pl, Portland, OR 97211",97211.0
500000.0,3.0,2.0,1230.0,"7626 N Fessenden St, Portland, OR 97203",97203.0
629000.0,3.0,3.0,2507.0,"4025 SE 64th Ave, Portland, OR 97206",97206.0
499000.0,3.0,2.0,2710.0,"2713 SE 81st Ave, Portland, OR 97206",97206.0
579500.0,4.0,2.5,1776.0,"17399 NW Millbrook St, Portland, OR 97229",97229.0
676500.0,4.0,2.0,2646.0,"4224 SE 33rd Pl, Portland, OR 97202",97202.0
729000.0,3.0,2.5,1985.0,"1826 SW Pendleton St, Portland, OR 97239",97239.0
430000.0,2.0,1.0,1244.0,"3666 SE Holgate Blvd, Portland, OR 97202",97202.0
425000.0,2.0,2.0,1044.0,"11231 NE Fargo St, Portland, OR 97220",97220.0
36000.0,1.0,1.0,4804.0,"16745 SE Division St Unit 53, Portland, OR 97236",97236.0
455000.0,4.0,2.0,1818.0,"13110 SE Gladstone Ct, Portland, OR 97236",97236.0
565000.0,4.0,2.0,2847.0,"7420 SE Woodstock Blvd, Portland, OR 97206",97206.0
699000.0,4.0,2.5,1915.0,"9218 SW Brier Pl, Portland, OR 97219",97219.0
469990.0,4.0,2.5,1925.0,"13619 NE Davis Ct, Portland, OR 97230",97230.0
435000.0,3.0,1.0,1890.0,"819 NE 127th Ave, Portland, OR 97230",97230.0
1025000.0,4.0,3.5,3031.0,"4838 NE 14th Pl, Portland, OR 97211",97211.0
675000.0,3.0,2.0,1598.0,"9301 NW Skyline Blvd, Portland, OR 97231",97231.0
689000.0,2.0,2.5,1385.0,"2434 NW Thurman St, Portland, OR 97210",97210.0
980000.0,4.0,2.5,3174.0,"3526 NE Cleveland Ave, Portland, OR 97212",97212.0
425000.0,4.0,2.5,1660.0,"7106 SE 81st Pl, Portland, OR 97206",97206.0
575000.0,2.0,2.0,1846.0,"1975 N Jantzen Ave, Portland, OR 97217",97217.0
550000.0,3.0,2.0,1093.0,"7780 SW 4th Ave, Portland, OR 97219",97219.0
399000.0,2.0,1.0,6816.0,"8817 N Dwight Ave, Portland, OR 97203",97203.0
370000.0,2.0,1.0,8388.0,"16190 SW Royalty Pkwy, Portland, OR 97224",97224.0
785000.0,4.0,2.5,2836.0,"541 NE Tillamook St, Portland, OR 97212",97212.0
369900.0,2.0,1.0,7207.0,"6530 SE 89th Ave, Portland, OR 97266",97266.0
365000.0,2.0,1.0,7207.0,"4539 SE 97th Ave, Portland, OR 97266",97266.0
590000.0,4.0,2.5,1821.0,"8332 N Fox St, Portland, OR 97203",97203.0
585000.0,4.0,3.0,1920.0,"6334 N Boston Ave, Portland, OR 97217",97217.0
