Price,Bedrooms,Bathrooms,Sqft,Address,ZIP Code
799990,4,25,2406,"Waterville Plan, Abbey Woods Terrace CommunityPortland, OR 97229",97229
768290,2,2,1858,"Blue Ridge Plan, Durham Heights CommunityPortland, OR 97224",97224
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
744900,4,3,2228,"3936 SE Cooper StPortland, OR 97202",97202
399999,3,2,1069,"16833 NW Wapato AvePortland, OR 97231",97231
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
425000,2,2,1044,"11231 NE Fargo StPortland, OR 97220",97220
550000,3,2,1093,"7780 SW 4th AvePortland, OR 97219",97219
698000,4,25,2662,"91 SW 106th PlPortland, OR 97225",97225
499000,3,2,2710,"2713 SE 81st AvePortland, OR 97206",97206
589900,3,25,1820,"16044 SE Flavel DrPortland, OR 97236",97236
575000,2,2,1846,"1975 N Jantzen AvePortland, OR 97217",97217
539000,3,15,1706,"7305 N Knowles AvePortland, OR 97217",97217
719000,2,2,1371,"1830 NW Riverscape St Apt 107Portland, OR 97209",97209
449900,3,2,1244,"16355 SE Yamhill StPortland, OR 97233",97233
614900,5,2,2826,"3951 SE Holgate BlvdPortland, OR 97202",97202
659000,4,25,2166,"9635 SW Pihas StPortland, OR 97223",97223
650000,3,15,1967,"1016 N Mason StPortland, OR 97217",97217
430000,2,1,1244,"3666 SE Holgate BlvdPortland, OR 97202",97202
825000,5,3,4016,"3340 SW 70th AvePortland, OR 97225",97225
424900,2,1,8688,"7115 N Delaware AvePortland, OR 97217",97217
539000,3,2,2020,"2261 NE 134th PlPortland, OR 97230",97230
1200000,5,35,3287,"3730 SW Grover StPortland, OR 97221",97221
650000,3,3,2326,"630 SE 33rd AvePortland, OR 97214",97214
749900,5,25,2444,"5684 NW Skycrest PkwyPortland, OR 97229",97229
785000,4,25,2836,"541 NE Tillamook StPortland, OR 97212",97212
554900,4,25,1933,"3862 NE 150th AvePortland, OR 97230",97230
545990,3,3,1632,"Bondi Plan, Bethany Crossing Townhomes CommunityPortland, OR 97229",97229
819995,4,25,2425,"Orford Plan, Toll Brothers at Hosford Farms - Terra Collection CommunityPortland, OR 97229",97229
435000,3,2,1040,"5015 SW Buddington StPortland, OR 97219",97219
299000,1,1,8588,"245 N Hayden Bay DrPortland, OR 97217",97217
900000,3,25,2176,"9130 SW 7th AvePortland, OR 97219",97219
676500,4,2,2646,"4224 SE 33rd PlPortland, OR 97202",97202
590000,4,25,1821,"8332 N Fox StPortland, OR 97203",97203
575000,3,15,2255,"4007 SE Long StPortland, OR 97202",97202
259000,2,1,8888,"1025 SW Bertha Blvd Apt 1Portland, OR 97219",97219
469990,4,25,1925,"13619 NE Davis CtPortland, OR 97230",97230
599950,3,2,2012,"4937 NE 6th AvePortland, OR 97211",97211
825000,6,3,3312,"13240 NW Pettygrove StPortland, OR 97229",97229
925000,5,4,3318,"7635 N Decatur StPortland, OR 97203",97203
,3,15,1766,"3645 NE 114th AvePortland, OR 97220",97220
1025000,4,35,3031,"4838 NE 14th PlPortland, OR 97211",97211
500000,3,2,1230,"7626 N Fessenden StPortland, OR 97203",97203
629000,3,3,2507,"4025 SE 64th AvePortland, OR 97206",97206
499000,3,2,2710,"2713 SE 81st AvePortland, OR 97206",97206
579500,4,25,1776,"17399 NW Millbrook StPortland, OR 97229",97229
676500,4,2,2646,"4224 SE 33rd PlPortland, OR 97202",97202
729000,3,25,1985,"1826 SW Pendleton StPortland, OR 97239",97239
430000,2,1,1244,"3666 SE Holgate BlvdPortland, OR 97202",97202
425000,2,2,1044,"11231 NE Fargo StPortland, OR 97220",97220
36000,1,1,4804,"16745 SE Division St Unit 53Portland, OR 97236",97236
455000,4,2,1818,"13110 SE Gladstone CtPortland, OR 97236",97236
565000,4,2,2847,"7420 SE Woodstock BlvdPortland, OR 97206",97206
699000,4,25,1915,"9218 SW Brier PlPortland, OR 97219",97219
469990,4,25,1925,"13619 NE Davis CtPortland, OR 97230",97230
435000,3,1,1890,"819 NE 127th AvePortland, OR 97230",97230
1025000,4,35,3031,"4838 NE 14th PlPortland, OR 97211",97211
675000,3,2,1598,"9301 NW Skyline BlvdPortland, OR 97231",97231
689000,2,25,1385,"2434 NW Thurman StPortland, OR 97210",97210
980000,4,25,3174,"3526 NE Cleveland AvePortland, OR 97212",97212
425000,4,25,1660,"7106 SE 81st PlPortland, OR 97206",97206
575000,2,2,1846,"1975 N Jantzen AvePortland, OR 97217",97217
550000,3,2,1093,"7780 SW 4th AvePortland, OR 97219",97219
399000,2,1,6816,"8817 N Dwight AvePortland, OR 97203",97203
370000,2,1,8388,"16190 SW Royalty PkwyPortland, OR 97224",97224
785000,4,25,2836,"541 NE Tillamook StPortland, OR 97212",97212
369900,2,1,7207,"6530 SE 89th AvePortland, OR 97266",97266
365000,2,1,7207,"4539 SE 97th AvePortland, OR 97266",97266
590000,4,25,1821,"8332 N Fox StPortland, OR 97203",97203
585000,4,3,1920,"6334 N Boston AvePortland, OR 97217",97217
364900,2,1,8648,"4560 SE 113th AvePortland, OR 97266",97266
795000,2,15,1360,"2141 NW Davis St Apt 203Portland, OR 97210",97210
515000,4,35,1929,"13620 NE Glendoveer CtPortland, OR 97230",97230
515000,3,25,1344,"15497 NW Sweetgale CtPortland, OR 97229",97229
948800,4,2,2379,"4030 NE 28th AvePortland, OR 97212",97212
477500,3,1,1887,"7420 SE Grant StPortland, OR 97215",97215
495000,3,2,1334,"2701 SE 80th AvePortland, OR 97206",97206
550000,3,25,1697,"7030 N Missouri AvePortland, OR 97217",97217
592500,3,15,2116,"3330 SW Primrose StPortland, OR 97219",97219
535000,4,25,1975,"10031 SE Yukon StPortland, OR 97266",97266
550000,3,1,2267,"7059 N Fairport PlPortland, OR 97217",97217
575000,3,15,2255,"4007 SE Long StPortland, OR 97202",97202
525000,3,1,1978,"7316 SE 16th AvePortland, OR 97202",97202
675000,3,2,1755,"7616 SW Greenwood DrPortland, OR 97223",97223
,,,,,
285000,3,1,1392,"8308 SE Kelly StPortland, OR 97266",97266
499000,3,35,1954,"10396 NW Forestview WayPortland, OR 97229",97229
475000,3,1,1619,"4610 NE 29th AvePortland, OR 97211",97211
599900,2,2,1795,"4619 NE 14th AvePortland, OR 97211",97211
554900,4,25,1933,"3862 NE 150th AvePortland, OR 97230",97230
435000,2,1,7247,"9115 SE Alder StPortland, OR 97216",97216
,3,15,1766,"3645 NE 114th AvePortland, OR 97220",97220
575000,3,2,1602,"8985 NW Oak StPortland, OR 97229",97229
,,,,,
810000,2,25,2001,"2501 NW Thurman StPortland, OR 97210",97210
320000,2,1,9729,"1220 NE 17th Ave Apt 14FPortland, OR 97232",97232
225000,1,1,5135,"2109 NW Irving St Unit 207Portland, OR 97210",97210
450000,3,15,1390,"12415 NW Haskell CtPortland, OR 97229",97229
185000,,1,4554,"709 SW 16th Ave Unit 406Portland, OR 97205",97205
695000,2,2,1542,"1930 NW Irving St Apt 404Portland, OR 97209",97209
499000,2,2,1268,"15760 SW Greens WayPortland, OR 97224",97224
209000,1,1,4774,"1829 NW Lovejoy St Unit 111Portland, OR 97209",97209
635000,3,25,1962,"3320 SW 1st AvePortland, OR 97239",97239
269900,2,1,9129,"2221 SW 1st Ave Apt 1426Portland, OR 97201",97201
370000,2,2,1093,"11825 NW Stone Mountain Ln Unit 403Portland, OR 97229",97229
1595000,2,25,2033,"1900 S River Dr Unit 502Portland, OR 97201",97201
800000,4,35,2445,"3188 NE Oregon StPortland, OR 97232",97232
499999,3,35,1567,"3857 SE 92nd Ave Unit 2Portland, OR 97266",97266
649900,4,35,1588,"1024 N Ainsworth StPortland, OR 97217",97217
239000,1,1,6776,"3925 SW Multnomah Blvd Apt 105Portland, OR 97219",97219
649900,3,25,1921,"1102 NE Tillamook St Unit 5Portland, OR 97212",97212
385000,3,3,1350,"4620 SW Caldew St Unit EPortland, OR 97219",97219
179900,,1,3933,"1205 SW Cardinell Dr Unit 701Portland, OR 97201",97201
549000,3,25,1866,"15546 NW Snowbush LnPortland, OR 97229",97229
199900,2,1,8148,"2718 SE 138th Ave Apt 64Portland, OR 97236",97236
310000,1,1,7187,"1926 W Burnside St Unit 1508Portland, OR 97209",97209
410000,2,1,1509,"6727 N Princeton StPortland, OR 97203",97203
499999,3,25,1651,"3851 SE 92nd Ave Unit 5Portland, OR 97266",97266
425000,1,1,7367,"1025 NW Couch St Unit 1115Portland, OR 97209",97209
409000,1,1,8208,"1920 S River Dr Unit E405Portland, OR 97201",97201
2914300,14,21,6592,"3564 NE Garfield AvePortland, OR 97212",97212
200000,2,1,8208,"283 SE 162nd AvePortland, OR 97233",97233
,,,,,
396000,1,1,7307,"4216 N Mississippi AvePortland, OR 97217",97217
579950,6,2,1872,"14544 SE Clinton StPortland, OR 97236",97236
517500,2,3,2168,"10626 NE Siskiyou StPortland, OR 97220",97220
729900,4,3,2623,"3450 SW 87th AvePortland, OR 97225",97225
529900,3,2,1515,"924 NE 174th AvePortland, OR 97230",97230
475000,2,1,2046,"8025 N Fenwick AvePortland, OR 97217",97217
519900,3,25,1753,"4435 SE Umatilla StPortland, OR 97206",97206
789900,5,2,2512,"2305 NE 41st AvePortland, OR 97212",97212
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
